time,temperature,relative_humidity,precipitation,weathercode
2014-01-24T00:00,1.4,90,0,1
2014-01-24T01:00,0.9,92,0,2
2014-01-24T02:00,0.4,93,0,3
2014-01-24T03:00,0.1,94,0,2
2014-01-24T04:00,0.2,95,0,3
2014-01-24T05:00,0.4,95,0,3
2014-01-24T06:00,0.5,96,0,3
2014-01-24T07:00,1.1,97,0,3
2014-01-24T08:00,1.4,97,0,3
2014-01-24T09:00,2.2,96,0,3
2014-01-24T10:00,3.7,93,0,3
2014-01-24T11:00,4.8,90,0,3
2014-01-24T12:00,5.6,87,0,3
2014-01-24T13:00,6.1,86,0,3
2014-01-24T14:00,6.4,86,0,3
2014-01-24T15:00,6.4,86,0,3
2014-01-24T16:00,6.5,86,0,3
2014-01-24T17:00,6.3,86,0,3
2014-01-24T18:00,6.3,86,0,3
2014-01-24T19:00,6.3,89,0.7,53
2014-01-24T20:00,6.3,90,0.8,53
2014-01-24T21:00,6.4,91,1.1,55
2014-01-24T22:00,6.5,92,1.1,55
2014-01-24T23:00,6.7,93,1.1,55
2014-01-25T00:00,6.8,94,1,55
2014-01-25T01:00,6.9,95,0.5,53
2014-01-25T02:00,7,96,0,3
2014-01-25T03:00,7.1,97,0,3
2014-01-25T04:00,7.1,98,0,3
2014-01-25T05:00,7.1,98,0,3
2014-01-25T06:00,7.1,98,0,3
2014-01-25T07:00,7.2,99,0,3
2014-01-25T08:00,7.1,99,0,2
2014-01-25T09:00,7.3,99,0,3
2014-01-25T10:00,7.8,97,0,3
2014-01-25T11:00,8.7,91,0,2
2014-01-25T12:00,9.6,86,0,1
2014-01-25T13:00,10.6,81,0,1
2014-01-25T14:00,10.9,79,0,1
2014-01-25T15:00,10.5,77,0,3
2014-01-25T16:00,9.2,80,1.3,61
2014-01-25T17:00,7.3,76,0.5,53
2014-01-25T18:00,6.3,69,0,0
2014-01-25T19:00,6.1,70,0,0
2014-01-25T20:00,5.5,69,0,0
2014-01-25T21:00,5.1,68,0,0
2014-01-25T22:00,4.8,68,0,0
2014-01-25T23:00,4.4,69,0,0
2014-01-26T00:00,4,70,0,1
2014-01-26T01:00,3.6,72,0,2
2014-01-26T02:00,2.9,77,0,3
2014-01-26T03:00,2.4,81,0,3
2014-01-26T04:00,1.7,85,0,1
2014-01-26T05:00,1.3,88,0,2
2014-01-26T06:00,1.7,88,0,3
2014-01-26T07:00,2.9,88,0,3
2014-01-26T08:00,3.6,87,0,3
2014-01-26T09:00,4.9,84,0.1,51
2014-01-26T10:00,6.3,83,0.4,51
2014-01-26T11:00,6.8,87,0.8,53
2014-01-26T12:00,6.9,90,1.4,61
2014-01-26T13:00,7.1,92,1.3,61
2014-01-26T14:00,7.7,93,0.5,53
2014-01-26T15:00,8.6,93,0.4,51
2014-01-26T16:00,8.5,80,0,2
2014-01-26T17:00,6.9,77,0,2
2014-01-26T18:00,5.6,76,0,2
2014-01-26T19:00,5.1,86,0,1
2014-01-26T20:00,4.3,85,0,0
2014-01-26T21:00,3.6,82,0,0
2014-01-26T22:00,3,78,0,0
2014-01-26T23:00,2.6,74,0,1
2014-01-27T00:00,2.3,72,0,0
2014-01-27T01:00,2.1,74,0,0
2014-01-27T02:00,1.8,78,0,0
2014-01-27T03:00,1.6,80,0,0
2014-01-27T04:00,1.4,82,0,1
2014-01-27T05:00,1.2,82,0,1
2014-01-27T06:00,1.4,81,0.2,71
2014-01-27T07:00,1.6,84,0,1
2014-01-27T08:00,1.6,86,0,2
2014-01-27T09:00,2.5,86,0,2
2014-01-27T10:00,4,84,0,3
2014-01-27T11:00,5.5,80,0,2
2014-01-27T12:00,6.6,72,0,2
2014-01-27T13:00,7.2,69,0,1
2014-01-27T14:00,7,70,0,1
2014-01-27T15:00,6.6,74,0,1
2014-01-27T16:00,6.2,75,0,1
2014-01-27T17:00,5.2,80,0,1
2014-01-27T18:00,4.5,84,0,0
2014-01-27T19:00,4.2,86,0,1
2014-01-27T20:00,4,86,0,2
2014-01-27T21:00,3.9,87,0,3
2014-01-27T22:00,3.8,87,0,2
2014-01-27T23:00,3.8,88,0,2
2014-01-28T00:00,3.7,90,0,2
2014-01-28T01:00,4.1,88,0,2
2014-01-28T02:00,4.5,87,0,2
2014-01-28T03:00,4.5,89,0,3
2014-01-28T04:00,4.4,91,0,2
2014-01-28T05:00,4.6,91,0,1
2014-01-28T06:00,4.9,90,0,2
2014-01-28T07:00,4,92,0,2
2014-01-28T08:00,4.1,92,0,3
2014-01-28T09:00,4.9,91,0,3
2014-01-28T10:00,6.1,87,0,2
2014-01-28T11:00,7,83,0,2
2014-01-28T12:00,7.8,79,0.1,51
2014-01-28T13:00,7.6,80,0.2,51
2014-01-28T14:00,7.4,82,0,2
2014-01-28T15:00,7.2,82,0,2
2014-01-28T16:00,6.6,83,0,3
2014-01-28T17:00,6.1,83,0,3
2014-01-28T18:00,5.7,84,0,3
2014-01-28T19:00,5.4,88,0,3
2014-01-28T20:00,5.1,90,0,3
2014-01-28T21:00,5.2,92,0.1,51
2014-01-28T22:00,5.1,91,0,3
2014-01-28T23:00,4.8,90,0.2,51
2014-01-29T00:00,4.6,91,0.1,51
2014-01-29T01:00,4.6,93,0.1,51
2014-01-29T02:00,4.6,94,0.1,51
2014-01-29T03:00,4.6,94,0.2,51
2014-01-29T04:00,4.5,95,0.2,51
2014-01-29T05:00,4.4,95,0.2,51
2014-01-29T06:00,4.1,96,0.3,51
2014-01-29T07:00,4.1,98,0.5,53
2014-01-29T08:00,3.7,98,0.6,53
2014-01-29T09:00,3.4,99,0.8,53
2014-01-29T10:00,3,99,0.8,53
2014-01-29T11:00,2.9,99,0.7,53
2014-01-29T12:00,3.1,99,0.8,53
2014-01-29T13:00,3.2,97,0.7,53
2014-01-29T14:00,3.6,94,0.8,53
2014-01-29T15:00,4,91,0.6,53
2014-01-29T16:00,4.2,89,0.8,53
2014-01-29T17:00,4.1,88,0.8,53
2014-01-29T18:00,4.3,88,0.5,53
2014-01-29T19:00,3.8,90,0.5,53
2014-01-29T20:00,3.9,90,0.5,53
2014-01-29T21:00,3.9,91,0.5,53
2014-01-29T22:00,3.8,92,0.5,53
