CODE,ons_region_id,constituency_name,county_name,region_name,country_name,constituency_type,mp_firstname,mp_surname,mp_gender,result,first_party,second_party
W07000049,W92000004,Aberavon,West Glamorgan,Wales,Wales,County,Stephen,Kinnock,Male,Lab hold,Lab,Con
W07000058,W92000004,Aberconwy,Clwyd,Wales,Wales,County,Robin,Millar,Male,Con hold,Con,Lab
S14000001,S92000003,Aberdeen North,Scotland,Scotland,Scotland,Borough,Kirsty,Blackman,Female,SNP hold,SNP,Con
S14000002,S92000003,Aberdeen South,Scotland,Scotland,Scotland,Borough,Stephen,Flynn,Male,SNP gain from Con,SNP,Con
S14000003,S92000003,Airdrie and Shotts,Scotland,Scotland,Scotland,County,Neil,Gray,Male,SNP hold,SNP,Lab
E14000530,E12000008,Aldershot,Hampshire,South East,England,Borough,Leo,Docherty,Male,Con hold,Con,Lab
E14000531,E12000005,Aldridge-Brownhills,West Midlands,West Midlands,England,Borough,Wendy,Morton,Female,Con hold,Con,Lab
E14000532,E12000002,Altrincham and Sale West,Greater Manchester,North West,England,Borough,Graham,Brady,Male,Con hold,Con,Lab
W07000043,W92000004,Alyn and Deeside,Clwyd,Wales,Wales,County,Mark,Tami,Male,Lab hold,Lab,Con
E14000533,E12000004,Amber Valley,Derbyshire,East Midlands,England,County,Nigel,Mills,Male,Con hold,Con,Lab
S14000004,S92000003,Angus,Scotland,Scotland,Scotland,County,Dave,Doogan,Male,SNP gain from Con,SNP,Con
W07000057,W92000004,Arfon,Gwynedd,Wales,Wales,County,Hywel,Williams,Male,PC hold,PC,Lab
S14000005,S92000003,Argyll and Bute,Scotland,Scotland,Scotland,County,Brendan,O'Hara,Male,SNP hold,SNP,Con
E14000534,E12000008,Arundel and South Downs,West Sussex,South East,England,County,Andrew,Griffith,Male,Con hold,Con,LD
E14000535,E12000004,Ashfield,Nottinghamshire,East Midlands,England,County,Lee,Anderson,Male,Con gain from Lab,Con,Ashfield Independents
E14000536,E12000008,Ashford,Kent,South East,England,County,Damian,Green,Male,Con hold,Con,Lab
E14000537,E12000002,Ashton-Under-Lyne,Greater Manchester,North West,England,Borough,Angela,Rayner,Female,Lab hold,Lab,Con
E14000538,E12000008,Aylesbury,Buckinghamshire,South East,England,County,Rob,Butler,Male,Con hold,Con,Lab
S14000006,S92000003,"Ayr, Carrick and Cumnock",Scotland,Scotland,Scotland,County,Allan,Dorans,Male,SNP gain from Con,SNP,Con
E14000539,E12000008,Banbury,Oxfordshire,South East,England,County,Victoria,Prentis,Female,Con hold,Con,Lab
S14000007,S92000003,Banff and Buchan,Scotland,Scotland,Scotland,County,David,Duguid,Male,Con hold,Con,SNP
E14000540,E12000007,Barking,London,London,England,Borough,Margaret,Hodge,Female,Lab hold,Lab,Con
E14000541,E12000003,Barnsley Central,South Yorkshire,Yorkshire and The Humber,England,Borough,Daniel,Jarvis,Male,Lab hold,Lab,Brexit
E14000542,E12000003,Barnsley East,South Yorkshire,Yorkshire and The Humber,England,County,Stephanie,Peacock,Female,Lab hold,Lab,Brexit
E14000543,E12000002,Barrow and Furness,Cumbria,North West,England,County,Simon,Fell,Male,Con gain from Lab Coop,Con,Lab
E14000544,E12000006,Basildon and Billericay,Essex,East,England,Borough,John,Baron,Male,Con hold,Con,Lab
E14000545,E12000008,Basingstoke,Hampshire,South East,England,Borough,Maria,Miller,Female,Con hold,Con,Lab
E14000546,E12000004,Bassetlaw,Nottinghamshire,East Midlands,England,County,Brendan,Clarke-Smith,Male,Con gain from Lab,Con,Lab
E14000547,E12000009,Bath,Avon,South West,England,Borough,Wera,Hobhouse,Female,LD hold,LD,Con
E14000548,E12000003,Batley and Spen,West Yorkshire,Yorkshire and The Humber,England,Borough,Tracy,Brabin,Female,Lab hold,Lab,Con
E14000549,E12000007,Battersea,London,London,England,Borough,Marsha,De Cordova,Female,Lab hold,Lab,Con
E14000550,E12000008,Beaconsfield,Buckinghamshire,South East,England,County,Joy,Morrissey,Female,Con hold,Con,Ind
E14000551,E12000007,Beckenham,London,London,England,Borough,Bob,Stewart,Male,Con hold,Con,Lab
E14000552,E12000006,Bedford,Bedfordshire,East,England,Borough,Mohammad,Yasin,Male,Lab hold,Lab,Con
N06000001,N92000002,Belfast East,Northern Ireland,Northern Ireland,Northern Ireland,Borough,Gavin,Robinson,Male,DUP hold,DUP,Alliance
N06000002,N92000002,Belfast North,Northern Ireland,Northern Ireland,Northern Ireland,Borough,John,Finucane,Male,SF gain from DUP,SF,DUP
N06000003,N92000002,Belfast South,Northern Ireland,Northern Ireland,Northern Ireland,Borough,Claire,Hanna,Female,SDLP gain from DUP,SDLP,DUP
N06000004,N92000002,Belfast West,Northern Ireland,Northern Ireland,Northern Ireland,Borough,Paul,Maskey,Male,SF hold,SF,PBPA
E14000553,E12000007,Bermondsey and Old Southwark,London,London,England,Borough,Neil,Coyle,Male,Lab hold,Lab,LD
S14000008,S92000003,"Berwickshire, Roxburgh and Selkirk",Scotland,Scotland,Scotland,County,John,Lamont,Male,Con hold,Con,SNP
E14000554,E12000001,Berwick-Upon-Tweed,Northumberland,North East,England,County,Anne-Marie,Trevelyan,Female,Con hold,Con,Lab
E14000555,E12000007,Bethnal Green and Bow,London,London,England,Borough,Rushanara,Ali,Female,Lab hold,Lab,Con
E14000556,E12000003,Beverley and Holderness,Humberside,Yorkshire and The Humber,England,County,Graham,Stuart,Male,Con hold,Con,Lab
E14000557,E12000008,Bexhill and Battle,East Sussex,South East,England,County,Huw,Merriman,Male,Con hold,Con,Lab
E14000558,E12000007,Bexleyheath and Crayford,London,London,England,Borough,David,Evennett,Male,Con hold,Con,Lab
E14000559,E12000002,Birkenhead,Merseyside,North West,England,Borough,Mick,Whitley,Male,Lab hold,Lab,Birkenhead Social Justice Party
